id,timestamp,name,userId,input,output,latency,inputTokens,outputTokens,totalTokens,status,model,error
"gen_001","2025-01-15T08:30:01Z","chat_completion","user_101","{""messages"":[{""role"":""system"",""content"":""You are a helpful assistant.""},{""role"":""user"",""content"":""Hello""}]}","{""role"":""assistant"",""content"":""Hi! How can I help you today?""}","0.85","45","12","57","success","gpt-4o-mini",""
"gen_002","2025-01-15T09:15:00Z","chat_completion","user_102","{""messages"":[{""role"":""user"",""content"":""What is 2+2?""}]}","{""role"":""assistant"",""content"":""2+2 equals 4.""}","0.72","28","8","36","success","gpt-4o-mini",""
"gen_003","2025-01-15T10:00:01Z","chat_completion","user_101","{""messages"":[{""role"":""system"",""content"":""You are a helpful assistant.""},{""role"":""user"",""content"":""Translate hello to Thai""}]}","{""role"":""assistant"",""content"":""สวัสดี (sawatdee)""}","1.24","52","15","67","success","gpt-4o",""
"gen_004","2025-01-15T11:30:00Z","chat_completion","user_103","{""messages"":[{""role"":""user"",""content"":""Write a poem""}]}","{""role"":""assistant"",""content"":""Roses are red,\nViolets are blue...""}","2.15","32","45","77","success","gpt-4o",""
"gen_005","2025-01-15T12:00:00Z","chat_completion","user_101","{""messages"":[{""role"":""user"",""content"":""Summarize this article...""}]}","","0.00","1250","0","1250","error","gpt-4o","context_length_exceeded"
"gen_006","2025-01-15T14:30:00Z","chat_completion","user_104","{""messages"":[{""role"":""system"",""content"":""You are a code reviewer.""},{""role"":""user"",""content"":""Review this: function add(a,b){return a+b}""}]}","{""role"":""assistant"",""content"":""The function looks clean but could use type hints.""}","1.85","68","32","100","success","gpt-4o",""
"gen_007","2025-01-15T15:45:00Z","chat_completion","user_102","{""messages"":[{""role"":""user"",""content"":""Tell me a joke""}]}","{""role"":""assistant"",""content"":""Why did the programmer quit? Because he didn't get arrays.""}","0.95","25","18","43","success","gpt-4o-mini",""
"gen_008","2025-01-15T16:20:00Z","chat_completion","user_105","{""messages"":[{""role"":""user"",""content"":""Explain quantum computing""}]}","{""role"":""assistant"",""content"":""Quantum computing uses quantum bits or qubits...""}","3.42","35","156","191","success","gpt-4o",""
"gen_009","2025-01-15T17:00:00Z","chat_completion","user_103","{""messages"":[{""role"":""user"",""content"":""Help me debug""}]}","","0.00","22","0","22","error","gpt-4o-mini","rate_limit_exceeded"
"gen_010","2025-01-15T18:30:00Z","chat_completion","user_106","{""messages"":[{""role"":""system"",""content"":""You are a SQL expert.""},{""role"":""user"",""content"":""Write a query to get top 10 users""}]}","{""role"":""assistant"",""content"":""SELECT * FROM users ORDER BY created_at DESC LIMIT 10;""}","1.52","58","25","83","success","gpt-4o",""
"gen_011","2025-01-16T08:00:00Z","chat_completion","user_101","{""messages"":[{""role"":""user"",""content"":""Good morning""}]}","{""role"":""assistant"",""content"":""Good morning! How can I assist you today?""}","0.68","22","14","36","success","gpt-4o-mini",""
"gen_012","2025-01-16T09:30:00Z","chat_completion","user_107","{""messages"":[{""role"":""system"",""content"":""You are a marketing expert.""},{""role"":""user"",""content"":""Write ad copy for shoes""}]}","{""role"":""assistant"",""content"":""Step into comfort. Walk in style. Our new collection awaits.""}","1.92","55","28","83","success","gpt-4o",""
"gen_013","2025-01-16T10:15:00Z","chat_completion","user_102","{""messages"":[{""role"":""user"",""content"":""Convert 100 USD to EUR""}]}","{""role"":""assistant"",""content"":""As of my knowledge cutoff, approximately 92 EUR.""}","0.88","32","18","50","success","gpt-4o-mini",""
"gen_014","2025-01-16T11:00:00Z","chat_completion","user_108","{""messages"":[{""role"":""user"",""content"":""What is machine learning?""}]}","{""role"":""assistant"",""content"":""Machine learning is a subset of AI that enables systems to learn from data...""}","2.35","28","85","113","success","gpt-4o",""
"gen_015","2025-01-16T12:30:00Z","chat_completion","user_104","{""messages"":[{""role"":""user"",""content"":""Generate test data""}]}","","0.00","25","0","25","error","gpt-4o","invalid_request"
"gen_016","2025-01-16T14:00:00Z","chat_completion","user_103","{""messages"":[{""role"":""system"",""content"":""You are a therapist.""},{""role"":""user"",""content"":""I feel stressed""}]}","{""role"":""assistant"",""content"":""I understand. Let's talk about what's causing your stress...""}","1.75","48","42","90","success","gpt-4o",""
"gen_017","2025-01-16T15:45:00Z","chat_completion","user_105","{""messages"":[{""role"":""user"",""content"":""List 5 programming languages""}]}","{""role"":""assistant"",""content"":""1. Python\n2. JavaScript\n3. Java\n4. C++\n5. Go""}","0.92","28","22","50","success","gpt-4o-mini",""
"gen_018","2025-01-16T17:20:00Z","chat_completion","user_109","{""messages"":[{""role"":""user"",""content"":""Explain recursion""}]}","{""role"":""assistant"",""content"":""Recursion is when a function calls itself. To understand recursion, you must first understand recursion.""}","1.45","25","32","57","success","gpt-4o",""
"gen_019","2025-01-16T19:00:00Z","chat_completion","user_106","{""messages"":[{""role"":""user"",""content"":""Write a haiku""}]}","{""role"":""assistant"",""content"":""Code flows like water\nBugs emerge from the darkness\nDebug, then repeat""}","1.12","22","25","47","success","gpt-4o",""
